name,latitude,longitude,cart_x,cart_y,cart_z,rho,theta,phi,polar_x,polar_y,polar_z
arecibo,18.3441,-66.7527,2389526.0746435844,-5562495.292534469,2007347.2170751363,6378137.0,-1.165054399596019,1.2506313834798048,-0.8721191301683343,0.374643265681434,0.3147231263729732
boulder,40.015,-105.2705,-1286557.5669856074,-4712393.801991745,4101066.4311311585,6378136.999999999,1.3042758233691025,0.8724028266093656,-0.7388354627678498,-0.20171369272651363,0.6429881376224998
boston,42.3601,-71.0589,1529808.9589009488,-4457769.250963569,4297512.006405462,6378137.0,-1.2402117678453985,0.8314731103208466,-0.6989140012143936,0.2398520067695236,0.6737879738872748
red woods,41.4017,-124.0417,-2678168.8208961757,-3964321.834449892,4218079.628273088,6378137.0,0.976656578818743,0.8482003458719604,-0.6215485547660535,-0.4198982901897805,0.6613341212760228
houston,29.5518,-95.0982,-493048.0416330366,-5526455.828136735,3145762.4193610596,6378137.0,1.4818159508697217,1.0550201169040365,-0.8664686613248876,-0.07730283022033498,0.49321023041070766
greenwich,51.4934,0.0098,3971058.541522653,679.218860745959,4991124.64172462,6378137.0,0.00017104226669544429,0.6720669537484487,0.000106491732734176,0.6226047733880055,0.7825364431219681
svalbard,77.875,20.9752,1250922.5353521972,479563.0399951872,6235851.480911617,6378137.000000001,0.3660863012643146,0.21162117180431295,0.07518857622456013,0.19612663311437137,0.977691680331046
mcmurdo,-77.5,165.0,-1333442.7431504389,357294.90618030145,-6226949.68596391,6378137.0,-0.2617993877991497,2.923426497090502,0.05601869420181809,-0.20906461293484896,-0.9762960071199334
cairo,30.0444,31.2357,4720816.277709233,2863049.7996322634,3193347.946546101,6378137.0,0.5451658091651929,1.0464226250087123,0.44888496431360186,0.7401559856285986,0.5006709555699573
johannesburg,-26.2056,28.0337,5051140.888957504,2689551.338180872,-2816544.143087424,6378137.0,0.48928036651633433,2.0281703292555227,0.42168290492676347,0.7919461261113558,-0.4415935473144311
stonehedge,51.1789,-1.8262,3996364.408690829,-127420.08491616404,4969252.179722635,6378137.0,-0.031873202799920446,0.6775560142459707,-0.01997763373790247,0.6265723688109598,0.779107156168429
machu picchu,-13.1632,-72.5453,1862865.94749968,-5924585.124247397,-1452464.5117735493,6378137.000000001,-1.2661543418470422,1.8005375068934142,-0.9288895996193555,0.2920705446589937,-0.22772551166172023
cape canaveral,28.3922,-80.6077,915666.9361535376,-5535712.456462659,3032832.546015085,6378136.999999999,-1.4068697674598332,1.0752589549101625,-0.8679199672980776,0.14356338475538197,0.47550445310520695
uluru,-25.3444,131.0369,-3784488.1387243993,4347897.06424398,-2730214.68704604,6378136.999999999,-0.8545673069832357,2.0131395537373478,0.6816876251237596,-0.5933532219085917,-0.42805833224435913
tunguska event,60.5411,101.5435,-627703.2665137835,3073314.939733026,5553499.390581645,6378136.999999999,-1.3693242445909315,0.5141547990157574,0.48185150926250503,-0.09841482967734677,0.8707087023344976
hanle,32.7908,79.0002,1023061.9993702283,5263295.806247736,3454228.2773650875,6378137.0,1.3788135997340245,0.99848890243194,0.8252089608999832,0.16040138356548758,0.5415732332756552
reykjavík,64.147,-21.9408,2579827.6769633144,-1039218.644505306,5739786.1769281635,6378137.0,-0.3829392005215718,0.4512199715180937,-0.16293451277470303,0.4044798154952323,0.8999157868399759
al-qarawiyyin,34.0649,-4.9734,5263779.117810729,-458058.645481601,3572596.152235551,6378137.0,-0.08680220501868596,0.9762516624322801,-0.071816996950928,0.8252847371906136,0.560131610881916
zambezi,-18.3414,36.2813,4880353.717308201,3582524.4745717263,-2007061.925756055,6378137.0,0.6332281419038187,1.8909141462201846,0.5616882287996834,0.7651691579074267,-0.31467839680396564
timbuktu,16.7666,-3.0026,6098604.585796515,-319891.82972805353,1839924.7033897764,6378137.000000001,-0.052405256120381744,1.2781639524300155,-0.05015443063202524,0.9561733443161405,0.2884736880674994
